Title,Author,PublicationYear,Genre
Golden Horizons,George Orwell,1984,Fiction
Shadows of the Past,Mark Twain,1897,Historical
The Great Adventure,Charles Dickens,1974,Satire
Whispering Memories,Gabriel Garcia Marquez,1847,Romance
Dreams of Tomorrow,Leo Tolstoy,1893,Mystery
Winds of Change,Jane Austen,1915,Dystopian
Dreams of Tomorrow,George Orwell,1984,Drama
The Great Adventure,Gabriel Garcia Marquez,1875,Mystery
Broken Promises,Toni Morrison,1867,Science Fiction
Whispering Memories,Harper Lee,1878,Romance
Silent Screams,Ernest Hemingway,1828,Satire
Tales Untold,J.D. Salinger,2013,Drama
Golden Horizons,Jane Austen,1983,Drama
Winds of Change,George Orwell,1934,Romance
Shadows of the Past,Mark Twain,1995,Romance
Silent Screams,Harper Lee,1947,Drama
Beneath the Stars,Virginia Woolf,1880,Satire
Whispering Memories,J.D. Salinger,1946,Satire
Broken Promises,George Orwell,2005,Dystopian
Beneath the Stars,J.D. Salinger,1901,Romance
Broken Promises,Ernest Hemingway,1998,Satire
Golden Horizons,Ernest Hemingway,1875,Romance
Golden Horizons,Toni Morrison,1802,Science Fiction
Winds of Change,Toni Morrison,1981,Fantasy
Beneath the Stars,Jane Austen,1865,Mystery
Silent Screams,Ernest Hemingway,1858,Drama
Forgotten Paths,Charles Dickens,1827,Fiction
Silent Screams,Mark Twain,1883,Historical
Beneath the Stars,George Orwell,1899,Fantasy
The Great Adventure,Charles Dickens,1808,Science Fiction
Broken Promises,J.D. Salinger,1834,Fantasy
The Great Adventure,Mark Twain,1858,Drama
The Great Adventure,F. Scott Fitzgerald,1930,Dystopian
Echoes of Silence,Charles Dickens,1977,Fantasy
Dreams of Tomorrow,Harper Lee,1835,Fiction
Beneath the Stars,J.D. Salinger,1813,Drama
Winds of Change,Charles Dickens,1981,Historical
Echoes of Silence,F. Scott Fitzgerald,1890,Mystery
Winds of Change,Charles Dickens,1844,Mystery
Broken Promises,J.D. Salinger,1973,Satire
Whispering Memories,F. Scott Fitzgerald,1932,Fantasy
Winds of Change,Ernest Hemingway,1873,Fiction
Silent Screams,F. Scott Fitzgerald,1800,Drama
Silent Screams,George Orwell,2013,Mystery
The Great Adventure,Mark Twain,2013,Drama
Tales Untold,F. Scott Fitzgerald,1940,Satire
Forgotten Paths,Mark Twain,1858,Historical
Tales Untold,Leo Tolstoy,1974,Science Fiction
Beneath the Stars,F. Scott Fitzgerald,1812,Fantasy
Dreams of Tomorrow,Harper Lee,1985,Romance
Dreams of Tomorrow,F. Scott Fitzgerald,2010,Satire
Beneath the Stars,Charles Dickens,1914,Romance
The Great Adventure,J.D. Salinger,1864,Historical
Forgotten Paths,George Orwell,1943,Dystopian
Beneath the Stars,F. Scott Fitzgerald,1977,Science Fiction
Dreams of Tomorrow,Gabriel Garcia Marquez,1979,Drama
Golden Horizons,F. Scott Fitzgerald,1880,Romance
Beneath the Stars,Jane Austen,1839,Dystopian
Dreams of Tomorrow,Toni Morrison,2000,Historical
Silent Screams,Jane Austen,2020,Fiction
Whispering Memories,Mark Twain,1914,Mystery
Broken Promises,Ernest Hemingway,1840,Mystery
Tales Untold,J.D. Salinger,1929,Fiction
The Great Adventure,Toni Morrison,1892,Science Fiction
Echoes of Silence,Gabriel Garcia Marquez,1825,Science Fiction
Broken Promises,Leo Tolstoy,2011,Fantasy
Broken Promises,Mark Twain,1821,Science Fiction
Whispering Memories,Gabriel Garcia Marquez,1800,Romance
Tales Untold,Leo Tolstoy,1970,Satire
Silent Screams,Ernest Hemingway,1810,Drama
Broken Promises,George Orwell,1981,Romance
The Great Adventure,J.D. Salinger,2005,Drama
Dreams of Tomorrow,Ernest Hemingway,1934,Fantasy
Broken Promises,J.D. Salinger,1822,Dystopian
Beneath the Stars,Mark Twain,1818,Fantasy
Dreams of Tomorrow,Gabriel Garcia Marquez,1915,Satire
The Great Adventure,F. Scott Fitzgerald,1942,Historical
Tales Untold,Leo Tolstoy,1884,Fantasy
Broken Promises,George Orwell,1857,Drama
Dreams of Tomorrow,Jane Austen,1813,Satire
Echoes of Silence,J.D. Salinger,1929,Romance
Dreams of Tomorrow,Harper Lee,2019,Dystopian
Winds of Change,Jane Austen,1838,Dystopian
Shadows of the Past,F. Scott Fitzgerald,1858,Dystopian
Golden Horizons,F. Scott Fitzgerald,1922,Romance
Tales Untold,Jane Austen,2002,Science Fiction
Golden Horizons,Mark Twain,1826,Mystery
Whispering Memories,Virginia Woolf,1897,Satire
Beneath the Stars,Ernest Hemingway,1818,Mystery
Echoes of Silence,F. Scott Fitzgerald,1956,Romance
Broken Promises,Mark Twain,1872,Satire
Whispering Memories,Jane Austen,1823,Fiction
Shadows of the Past,Harper Lee,2003,Mystery
Winds of Change,F. Scott Fitzgerald,1950,Drama
Shadows of the Past,Charles Dickens,1890,Mystery
Golden Horizons,George Orwell,1869,Science Fiction
Echoes of Silence,Toni Morrison,1821,Science Fiction
The Great Adventure,Mark Twain,1856,Historical
Forgotten Paths,Jane Austen,2011,Fantasy
Echoes of Silence,Ernest Hemingway,1935,Romance
Echoes of Silence,Ernest Hemingway,2015,Science Fiction
Tales Untold,Mark Twain,1820,Romance
Broken Promises,Leo Tolstoy,1994,Romance
The Great Adventure,George Orwell,1804,Romance
Echoes of Silence,Ernest Hemingway,1834,Drama
Tales Untold,Leo Tolstoy,2022,Romance
Whispering Memories,Virginia Woolf,1989,Fiction
Dreams of Tomorrow,Toni Morrison,1837,Fantasy
Dreams of Tomorrow,Mark Twain,1990,Historical
Broken Promises,Leo Tolstoy,1854,Dystopian
Dreams of Tomorrow,Harper Lee,1977,Historical
Whispering Memories,Ernest Hemingway,1983,Fantasy
Whispering Memories,Mark Twain,1886,Fiction
Dreams of Tomorrow,Toni Morrison,1837,Science Fiction
Beneath the Stars,F. Scott Fitzgerald,2004,Science Fiction
Tales Untold,Gabriel Garcia Marquez,1961,Fiction
Silent Screams,George Orwell,1931,Fantasy
Echoes of Silence,F. Scott Fitzgerald,1869,Historical
Forgotten Paths,Harper Lee,1820,Romance
Echoes of Silence,Harper Lee,1937,Fiction
Beneath the Stars,Gabriel Garcia Marquez,1997,Satire
